[' 01  73 b6243y0rb6sux       1191595322 HAUP00_USER'
 ' 02  25 8nxgp5dt87mvy       2631898781 HAUP00_USER'
 ' 03  03 2t4k17j392p89       3769413806 HAUP00_USER'
 ' 04  00 0csz9rtugs9bv       1252339947 HAUP00_USER'
 ' 04  00 0dgdw4250mjfj       1943233983 HAUP00_USER'
 ' 04  00 0m26wyjs35bx6       1435709444 HAUPD0_USER'
 ' 04  00 0r33prvk1urs9       3806316904 HAUP00_USER'
 ' 04  00 10976px7p2766       1128219125 HAUP00_USER'
 ' 04  00 127r4qmvdsrtp       1419847417 HAUP00_USER'
 ' 04  00 1d1v4bcxma9z5       1807240597 HAUPD0_USER']
