,SNAP_TIME,SERVICE_NAME,STAT_NAME,VALUE,DELTAT_SEC,RATE_VALUE,SERVICE_NAME,SUM(VALUE)
0,20201103000026,SO_LIG_X1,workarea executions - multipass,0,,,SO_LIG_X1,52301630279852
1,20201103000026,SO_RPS_X1_BATCH,workarea executions - multipass,0,,,SO_RPS_X1_BATCH,35100738114195
2,20201103000026,SO_RPS_X1_TP,workarea executions - multipass,0,,,SO_RPS_X1_TP,178697250274524
3,20201103000026,GESPAX00,concurrency wait time,2417684219,,,GESPAX00,20310943046933
4,20201103000026,SO_CAMCAR_X1,concurrency wait time,779195356,,,SO_CAMCAR_X1,18228706835987
5,20201103000026,SO_CMN_X1,concurrency wait time,10557858458,,,SO_CMN_X1,1106005890829738
6,20201103000026,SO_CVT_X1,concurrency wait time,154288069806,,,SO_CVT_X1,106127644980506
7,20201103000026,SO_EPS_X1,concurrency wait time,94971036496,,,SO_EPS_X1,75781462109263
8,20201103000026,SO_ESBBWP_X1,concurrency wait time,570819397085,,,SO_ESBBWP_X1,1141624285583184
9,20201103000026,SO_ICE_X1,concurrency wait time,2084571562,,,SO_ICE_X1,27743829362331
10,20201103000026,SO_LIG_X1,concurrency wait time,11273120935,,,SO_LIG_X1,52301630279852
11,20201103000026,SO_RPS_X1_BATCH,concurrency wait time,10823958355,,,SO_RPS_X1_BATCH,35100738114195
12,20201103000026,SO_RPS_X1_TP,concurrency wait time,5532135675,,,SO_RPS_X1_TP,178697250274524
13,20201103000026,SO_CAMCAR_X1,session cursor cache hits,28294884,,,SO_CAMCAR_X1,18228706835987
14,20201103000026,SO_CMN_X1,session cursor cache hits,1069788443,,,SO_CMN_X1,1106005890829738
15,20201103000026,SO_CVT_X1,session cursor cache hits,18294527,,,SO_CVT_X1,106127644980506
16,20201103000026,SO_EPS_X1,session cursor cache hits,157684656,,,SO_EPS_X1,75781462109263
17,20201103000026,SO_ESBBWP_X1,session cursor cache hits,3800638116,,,SO_ESBBWP_X1,1141624285583184
18,20201103000026,SO_ICE_X1,session cursor cache hits,58426126,,,SO_ICE_X1,27743829362331
19,20201103000026,SO_LIG_X1,session cursor cache hits,35869853,,,SO_LIG_X1,52301630279852
20,20201103000026,SO_RPS_X1_BATCH,session cursor cache hits,370839,,,SO_RPS_X1_BATCH,35100738114195
21,20201103000026,SO_RPS_X1_TP,session cursor cache hits,16154319,,,SO_RPS_X1_TP,178697250274524
22,20201103000026,GESPAX00,workarea executions - multipass,0,,,GESPAX00,20310943046933
23,20201103000026,SO_CAMCAR_X1,workarea executions - multipass,0,,,SO_CAMCAR_X1,18228706835987
24,20201103000026,SO_CMN_X1,workarea executions - multipass,0,,,SO_CMN_X1,1106005890829738
25,20201103000026,SO_CVT_X1,workarea executions - multipass,0,,,SO_CVT_X1,106127644980506
26,20201103000026,SO_EPS_X1,workarea executions - multipass,0,,,SO_EPS_X1,75781462109263
27,20201103000026,SO_ESBBWP_X1,workarea executions - multipass,0,,,SO_ESBBWP_X1,1141624285583184
28,20201103000026,SO_ICE_X1,workarea executions - multipass,0,,,SO_ICE_X1,27743829362331
29,20201103000026,SO_ICE_X1,DB time,841051006617,,,SO_ICE_X1,27743829362331
30,20201103000026,SO_LIG_X1,DB time,1711915379442,,,SO_LIG_X1,52301630279852
31,20201103000026,SO_RPS_X1_BATCH,DB time,190980436682,,,SO_RPS_X1_BATCH,35100738114195
32,20201103000026,SO_RPS_X1_TP,DB time,3529351401118,,,SO_RPS_X1_TP,178697250274524
33,20201103000026,GESPAX00,user rollbacks,2391,,,GESPAX00,20310943046933
34,20201103000026,SO_CAMCAR_X1,user rollbacks,60,,,SO_CAMCAR_X1,18228706835987
35,20201103000026,SO_CMN_X1,user rollbacks,501778,,,SO_CMN_X1,1106005890829738
36,20201103000026,SO_CVT_X1,user rollbacks,177,,,SO_CVT_X1,106127644980506
37,20201103000026,SO_EPS_X1,user rollbacks,12305,,,SO_EPS_X1,75781462109263
38,20201103000026,SO_ESBBWP_X1,user rollbacks,2,,,SO_ESBBWP_X1,1141624285583184
39,20201103000026,SO_ICE_X1,user rollbacks,5104,,,SO_ICE_X1,27743829362331
40,20201103000026,SO_LIG_X1,user rollbacks,11333875,,,SO_LIG_X1,52301630279852
41,20201103000026,SO_RPS_X1_BATCH,user rollbacks,0,,,SO_RPS_X1_BATCH,35100738114195
42,20201103000026,SO_RPS_X1_TP,user rollbacks,24,,,SO_RPS_X1_TP,178697250274524
43,20201103000026,GESPAX00,session cursor cache hits,17086360,,,GESPAX00,20310943046933
44,20201103000026,GESPAX00,user I/O wait time,61937828990,,,GESPAX00,20310943046933
45,20201103000026,SO_CAMCAR_X1,user I/O wait time,311665617249,,,SO_CAMCAR_X1,18228706835987
46,20201103000026,SO_CMN_X1,user I/O wait time,3946055271811,,,SO_CMN_X1,1106005890829738
47,20201103000026,SO_CVT_X1,user I/O wait time,15710760051,,,SO_CVT_X1,106127644980506
48,20201103000026,SO_EPS_X1,user I/O wait time,481559846081,,,SO_EPS_X1,75781462109263
49,20201103000026,SO_ESBBWP_X1,user I/O wait time,6459888026544,,,SO_ESBBWP_X1,1141624285583184
50,20201103000026,SO_ICE_X1,user I/O wait time,510302104340,,,SO_ICE_X1,27743829362331
51,20201103000026,SO_LIG_X1,user I/O wait time,113255385856,,,SO_LIG_X1,52301630279852
52,20201103000026,SO_RPS_X1_BATCH,user I/O wait time,25719690584,,,SO_RPS_X1_BATCH,35100738114195
53,20201103000026,SO_RPS_X1_TP,user I/O wait time,387728994801,,,SO_RPS_X1_TP,178697250274524
54,20201103000026,GESPAX00,DB time,384230149988,,,GESPAX00,20310943046933
55,20201103000026,SO_CAMCAR_X1,DB time,532613941601,,,SO_CAMCAR_X1,18228706835987
56,20201103000026,SO_CMN_X1,DB time,39409636191139,,,SO_CMN_X1,1106005890829738
57,20201103000026,SO_CVT_X1,DB time,583697745315,,,SO_CVT_X1,106127644980506
58,20201103000026,SO_EPS_X1,DB time,2029543210318,,,SO_EPS_X1,75781462109263
59,20201103000026,SO_ESBBWP_X1,DB time,25434876813713,,,SO_ESBBWP_X1,1141624285583184
60,20201103000026,SO_ESBBWP_X1,session logical reads,889864443053,,,SO_ESBBWP_X1,1141624285583184
61,20201103000026,SO_ICE_X1,session logical reads,16141696648,,,SO_ICE_X1,27743829362331
62,20201103000026,SO_LIG_X1,session logical reads,40532403548,,,SO_LIG_X1,52301630279852
63,20201103000026,SO_RPS_X1_BATCH,session logical reads,23094547992,,,SO_RPS_X1_BATCH,35100738114195
64,20201103000026,SO_RPS_X1_TP,session logical reads,54851334942,,,SO_RPS_X1_TP,178697250274524
65,20201103000026,GESPAX00,workarea executions - optimal,12194960,,,GESPAX00,20310943046933
66,20201103000026,SO_CAMCAR_X1,workarea executions - optimal,5184220,,,SO_CAMCAR_X1,18228706835987
67,20201103000026,SO_CMN_X1,workarea executions - optimal,1011423332,,,SO_CMN_X1,1106005890829738
68,20201103000026,SO_CVT_X1,workarea executions - optimal,229329,,,SO_CVT_X1,106127644980506
69,20201103000026,SO_EPS_X1,workarea executions - optimal,3097605,,,SO_EPS_X1,75781462109263
70,20201103000026,SO_ESBBWP_X1,workarea executions - optimal,1349767543,,,SO_ESBBWP_X1,1141624285583184
71,20201103000026,SO_ICE_X1,workarea executions - optimal,6598250,,,SO_ICE_X1,27743829362331
72,20201103000026,SO_LIG_X1,workarea executions - optimal,39126709,,,SO_LIG_X1,52301630279852
73,20201103000026,SO_RPS_X1_BATCH,workarea executions - optimal,44005,,,SO_RPS_X1_BATCH,35100738114195
74,20201103000026,SO_RPS_X1_TP,workarea executions - optimal,85113713,,,SO_RPS_X1_TP,178697250274524
75,20201103000026,SO_RPS_X1_BATCH,gc cr blocks received,0,,,SO_RPS_X1_BATCH,35100738114195
76,20201103000026,SO_RPS_X1_TP,gc cr blocks received,0,,,SO_RPS_X1_TP,178697250274524
77,20201103000026,GESPAX00,user calls,609322093,,,GESPAX00,20310943046933
78,20201103000026,SO_CAMCAR_X1,user calls,155449294,,,SO_CAMCAR_X1,18228706835987
79,20201103000026,SO_CMN_X1,user calls,33111905098,,,SO_CMN_X1,1106005890829738
80,20201103000026,SO_CVT_X1,user calls,26385620,,,SO_CVT_X1,106127644980506
81,20201103000026,SO_EPS_X1,user calls,5580291,,,SO_EPS_X1,75781462109263
82,20201103000026,SO_ESBBWP_X1,user calls,28584520764,,,SO_ESBBWP_X1,1141624285583184
83,20201103000026,SO_ICE_X1,user calls,147832347,,,SO_ICE_X1,27743829362331
84,20201103000026,SO_LIG_X1,user calls,253347738,,,SO_LIG_X1,52301630279852
85,20201103000026,SO_RPS_X1_BATCH,user calls,1039164,,,SO_RPS_X1_BATCH,35100738114195
86,20201103000026,SO_RPS_X1_TP,user calls,1547292,,,SO_RPS_X1_TP,178697250274524
87,20201103000026,GESPAX00,session logical reads,14754580465,,,GESPAX00,20310943046933
88,20201103000026,SO_CAMCAR_X1,session logical reads,1850853951,,,SO_CAMCAR_X1,18228706835987
89,20201103000026,SO_CMN_X1,session logical reads,7121269259139,,,SO_CMN_X1,1106005890829738
90,20201103000026,SO_CVT_X1,session logical reads,40273274991,,,SO_CVT_X1,106127644980506
91,20201103000026,SO_EPS_X1,session logical reads,28646770941,,,SO_EPS_X1,75781462109263
92,20201103000026,SO_CMN_X1,sql execute elapsed time,32414134281050,,,SO_CMN_X1,1106005890829738
93,20201103000026,SO_CVT_X1,sql execute elapsed time,415687482693,,,SO_CVT_X1,106127644980506
94,20201103000026,SO_EPS_X1,sql execute elapsed time,1791734489528,,,SO_EPS_X1,75781462109263
95,20201103000026,SO_ESBBWP_X1,sql execute elapsed time,21759616965763,,,SO_ESBBWP_X1,1141624285583184
96,20201103000026,SO_ICE_X1,sql execute elapsed time,806653144430,,,SO_ICE_X1,27743829362331
97,20201103000026,SO_LIG_X1,sql execute elapsed time,1150700132870,,,SO_LIG_X1,52301630279852
98,20201103000026,SO_RPS_X1_BATCH,sql execute elapsed time,175062883085,,,SO_RPS_X1_BATCH,35100738114195
99,20201103000026,SO_RPS_X1_TP,sql execute elapsed time,3523249968223,,,SO_RPS_X1_TP,178697250274524
100,20201103000026,GESPAX00,gc cr blocks received,0,,,GESPAX00,20310943046933
101,20201103000026,SO_CAMCAR_X1,gc cr blocks received,0,,,SO_CAMCAR_X1,18228706835987
102,20201103000026,SO_CMN_X1,gc cr blocks received,0,,,SO_CMN_X1,1106005890829738
103,20201103000026,SO_CVT_X1,gc cr blocks received,0,,,SO_CVT_X1,106127644980506
104,20201103000026,SO_EPS_X1,gc cr blocks received,0,,,SO_EPS_X1,75781462109263
105,20201103000026,SO_ESBBWP_X1,gc cr blocks received,0,,,SO_ESBBWP_X1,1141624285583184
106,20201103000026,SO_ICE_X1,gc cr blocks received,0,,,SO_ICE_X1,27743829362331
107,20201103000026,SO_LIG_X1,gc cr blocks received,0,,,SO_LIG_X1,52301630279852
108,20201103000026,SO_RPS_X1_BATCH,logons cumulative,29073,,,SO_RPS_X1_BATCH,35100738114195
109,20201103000026,SO_RPS_X1_TP,logons cumulative,22459,,,SO_RPS_X1_TP,178697250274524
110,20201103000026,GESPAX00,DB CPU,121588756027,,,GESPAX00,20310943046933
111,20201103000026,SO_CAMCAR_X1,DB CPU,121228870118,,,SO_CAMCAR_X1,18228706835987
112,20201103000026,SO_CMN_X1,DB CPU,13513860347654,,,SO_CMN_X1,1106005890829738
113,20201103000026,SO_CVT_X1,DB CPU,204141863040,,,SO_CVT_X1,106127644980506
114,20201103000026,SO_EPS_X1,DB CPU,512914358707,,,SO_EPS_X1,75781462109263
115,20201103000026,SO_ESBBWP_X1,DB CPU,7150437525178,,,SO_ESBBWP_X1,1141624285583184
116,20201103000026,SO_ICE_X1,DB CPU,128913796268,,,SO_ICE_X1,27743829362331
117,20201103000026,SO_LIG_X1,DB CPU,550923506178,,,SO_LIG_X1,52301630279852
118,20201103000026,SO_RPS_X1_BATCH,DB CPU,79174805750,,,SO_RPS_X1_BATCH,35100738114195
119,20201103000026,SO_RPS_X1_TP,DB CPU,1343464268904,,,SO_RPS_X1_TP,178697250274524
120,20201103000026,GESPAX00,sql execute elapsed time,358681676103,,,GESPAX00,20310943046933
121,20201103000026,SO_CAMCAR_X1,sql execute elapsed time,399746707104,,,SO_CAMCAR_X1,18228706835987
122,20201103000026,SO_CMN_X1,execute count,17614502382,,,SO_CMN_X1,1106005890829738
123,20201103000026,SO_CVT_X1,execute count,708919315,,,SO_CVT_X1,106127644980506
124,20201103000026,SO_EPS_X1,execute count,186218551,,,SO_EPS_X1,75781462109263
125,20201103000026,SO_ESBBWP_X1,execute count,35597009127,,,SO_ESBBWP_X1,1141624285583184
126,20201103000026,SO_ICE_X1,execute count,105290484,,,SO_ICE_X1,27743829362331
127,20201103000026,SO_LIG_X1,execute count,837137659,,,SO_LIG_X1,52301630279852
128,20201103000026,SO_RPS_X1_BATCH,execute count,712743,,,SO_RPS_X1_BATCH,35100738114195
129,20201103000026,SO_RPS_X1_TP,execute count,117929458,,,SO_RPS_X1_TP,178697250274524
130,20201103000026,GESPAX00,logons cumulative,45664,,,GESPAX00,20310943046933
