SNAP_TIME,CPU used by this session,db block changes,elapsed,execute count,logons cumulative,parse count (hard),parse count (total),parse time cpu,physical read total bytes,physical write total bytes,redo size,session logical reads,sorts (disk),user calls,user commits
202009302300,0,0,3623,0,0,0,0,0,0,0,0,0,0,0,0
202010010000,0,0,3570,0,0,0,0,0,0,0,0,0,0,0,0
202010010100,7633,373663,3626,340532,1305,2313,35181,935,1381414912,419741696,63275360,9214168,0,94663,20751
202010010200,2780,48466,3562,176784,1276,670,18832,121,245902848,104906240,7459248,3035186,0,9065,37
202010010300,2454,28553,3624,170570,1271,29,15641,36,233391104,132501504,5417068,2750327,0,9079,37
202010010400,2327,45249,3626,169501,1250,18,15044,44,209397760,101541888,6944724,2810930,0,8980,37
202010010500,4262,82652,3563,189618,1299,1095,23611,698,987005440,159548416,9078960,3617238,0,11545,138
202010010600,3367,308574,3623,183068,1300,678,18362,212,827074560,310110208,44819048,3263166,0,9972,49
202010010700,55219,8530885,3563,917330,1227,119,16905,102,14716663296,34722319872,4782297744,23146495,0,1717232,227219
202010010800,80673,20359426,3625,1828199,1309,1275,24298,611,36741241856,76884173312,11178697660,51907803,0,3792037,539934
202010010900,85170,22881809,3625,2110708,1226,2050,25602,904,34823527424,84897685504,12963496424,60169143,0,4426530,631197
202010011000,7640,1141146,3566,311794,1254,1225,28272,502,32411952128,4213524480,629700440,5857080,0,231793,30415
202010011100,3529,68371,3628,204913,1281,973,21825,466,525987328,136075776,8717224,3087593,0,9247,130
202010011200,3761,49355,3565,215359,1292,787,27166,436,26712535040,187434496,6462900,3188765,0,18868,131
202010011300,2830,47895,3636,183755,1199,544,17716,134,293280256,113608192,7519376,2862685,0,8356,44
202010011400,3056,49562,3576,201452,1252,299,22071,153,683695616,179341312,8176636,2962201,0,13325,128
202010011500,3292,206142,3575,193651,1217,308,17880,64,301091328,226127360,34304420,3105421,0,8773,140
202010011600,3320,107080,3636,200723,1327,56,22179,58,602042368,223127552,17329104,3030242,0,13741,137
202010011700,4427,65973,3569,202562,1229,1029,22895,512,481137152,185059840,8679648,3083129,0,8561,132
202010011800,2916,48860,3623,190149,1218,177,16685,60,321024000,149019648,8229612,2955670,0,8596,131
202010011900,4171,470898,3627,347099,1269,151,16959,61,5885972480,725895680,129385976,3821852,0,218512,51927
202010012000,2955,53326,3566,191832,1235,51,24508,54,1467482624,190635520,7293680,2864410,0,14155,52
202010012100,7304,82996,3631,207553,1330,1085,24722,311,4879415808,135700480,8617624,4662484,0,9271,211
202010012200,9951,225376,3565,357380,1229,2500,46025,857,1961782784,239917568,30266868,7889678,0,8527,4509
202010012300,8044,283954,3630,295562,1305,3298,41474,870,1757512192,335481344,40011348,10168348,0,8860,644
202010020000,6544,489005,3570,268321,1353,1713,34515,300,1530834944,463142912,72110512,10079547,0,9130,523
202010020100,6073,155108,3628,242686,1318,1414,28589,668,844900352,241537024,23783096,7586218,0,8938,421
202010020200,2856,49339,3566,176683,1260,746,18111,135,246766080,104113664,7221856,3036923,0,8622,37
202010020300,2568,46878,3631,171936,1239,267,16538,61,210360832,109577728,5859380,2829072,0,8574,38
202010020400,3317,237024,3563,242709,1200,89,15030,55,263050240,234918400,39125644,3186420,0,108302,24094
202010020500,4219,129003,3624,212214,1275,897,23595,548,1170403328,314304512,33074968,3203787,0,45773,6959
202010020600,3752,319393,3625,183028,1331,602,21596,306,635680768,285174784,45093496,3798883,0,11572,47
202010020700,5416,374135,3563,215683,1292,88,15749,83,2224790528,1595294720,257499020,4034617,0,116773,6282
202010020800,9516,287678,3625,423895,1324,369,25434,481,5592058368,1206595584,168884488,5597938,0,466217,8883
202010020900,3222,44267,3567,178023,1200,404,18039,406,373043200,221586432,5917252,2946398,0,8831,129
202010021000,3267,50692,3626,186468,1308,55,22518,92,1020446720,189604864,7342168,2968153,0,14257,134
202010021100,3026,65673,3566,177727,1217,365,19318,107,481217024,127762944,7610908,3039983,0,9342,132
202010021200,3391,50641,3624,186458,1340,61,22507,70,895324672,184433664,7246688,3130447,0,14286,136
202010021300,2421,36574,3631,166172,1234,14,15048,38,267557888,107049984,5111696,2780022,0,8974,37
202010021401,3091,49104,3574,186875,1252,41,22198,48,534452224,175411712,7194332,2966986,0,13845,139
202010021500,2633,33170,3573,170802,1232,41,15957,43,245895680,112532992,5386824,2895154,0,9003,131
202010021600,3071,51389,3631,186216,1262,43,22329,36,535319040,182346752,7372400,2970682,0,13999,139
202010021700,3459,159245,3564,180036,1298,395,20382,61,496906752,206525952,26262768,3086278,0,9476,139
202010021800,3572,156551,3627,182944,1297,140,18191,56,389715968,244115456,25065164,3182423,0,9632,235
202010021900,3521,102757,3626,192340,1251,126,21911,71,2271218688,238493696,15157228,3150758,0,10801,236
202010022000,4912,497246,3567,348845,1323,84,22875,78,905308160,752445440,133896276,3886110,0,229553,53450
202010022100,7331,130301,3627,220773,1249,1529,27289,350,839801344,173990400,16309824,4352161,0,8899,414
202010022200,9745,146448,3569,357723,1280,2713,46756,886,676353536,186300928,17471808,7621907,0,8767,4399
202010022300,8319,336615,3628,290591,1387,2874,39278,810,1765150208,359982592,47960924,10201568,0,9285,648
202010030000,6343,492307,3567,267899,1292,1762,34249,325,1675129344,465064448,71263796,10031915,0,8827,534
202010030100,6621,201227,3628,258505,1309,2120,32280,857,1197911552,265482752,31150344,7794725,0,8907,458
202010030200,3972,285881,3566,270837,1287,700,18188,99,303939072,262026752,47192104,3515460,0,131679,29471
202010030300,2751,65503,3624,183646,1229,417,17711,94,288273408,191394816,18991204,2903053,0,17378,1386
202010030400,2577,51367,3623,167470,1218,31,14989,41,210655232,105000960,7075764,2832205,0,8840,37
202010030500,5484,92685,3569,212942,1218,1268,29144,592,581994496,167311360,10950608,3639614,0,8808,310
202010030600,4269,345121,3624,181150,1363,776,19502,324,690317312,290193408,48501848,4767618,0,10865,111
202010030700,6060,128487,3562,229504,1253,505,24695,167,1551492608,197548544,17761588,8589031,0,8656,375
202010030800,7456,147073,3625,279417,1285,1624,33242,743,1145097216,215448576,22978320,9855632,0,8872,574
202010030900,6099,111108,3567,236506,1246,432,26048,370,715487232,195692544,15914944,9403563,0,8588,482
202010031000,6204,139097,3627,250122,1262,317,25758,161,734854656,247878144,24162912,9580507,0,8728,531
202010031100,8418,171900,3628,281905,1502,2361,40341,1147,1336357376,248206848,21730776,10931592,0,12828,561
202010031200,6003,118042,3563,250874,1266,751,27403,180,813354496,185542144,17166544,9576971,0,8703,511
202010031300,7646,378546,3624,298127,1350,4165,60753,487,1249979392,422068224,59182420,10046639,0,11442,733
202010031400,7661,148927,3567,278461,1320,2287,35951,1011,1332327424,221990912,22774620,10135986,0,9880,529
202010031500,7029,131140,3626,266749,1243,1648,33665,855,1199121408,189668352,19810892,9624972,0,8587,525
202010031600,6671,122798,3624,258531,1317,1148,29424,581,834714112,206980608,19025572,9621252,0,8976,502
202010031701,7621,126759,3568,269214,1279,1871,34870,805,1294410752,212074496,18468012,9695918,0,8716,504
202010031800,6933,128177,3632,264192,1261,1590,31774,754,1195427328,210275840,20342368,9640908,0,8668,520
202010031901,5932,127774,3578,246488,1263,461,27408,153,1242898944,263796224,19683584,9552121,0,8638,541
202010032000,5122,115263,3587,258807,1232,1304,29227,327,1198836224,169687552,19481428,9462496,0,8452,404
202010032100,5495,113379,3578,247859,1323,882,28205,223,1404959744,188556288,15148480,10126205,0,9185,395
202010032200,12347,253437,3627,419055,1282,2392,51399,641,1302414336,258674688,34597012,13401456,0,8739,4736
202010032300,8289,222640,3627,284872,1318,2680,38282,830,1813520384,305652736,31450736,9962906,0,8911,568
202010040000,6803,501471,3572,279371,1297,2410,36382,454,3390593024,530244608,75958652,10123643,0,9552,517
202010040100,19288,202319,3622,3891831,1448,3182,59184,1163,66717265920,670061056,28758776,14643674,0,762866,502
202010040200,2589,45857,3560,171858,1250,717,16172,126,261921280,128609792,5222096,3000385,0,8593,35
202010040300,3067,52258,3622,187520,1241,1023,21933,318,241187328,114906624,8235872,2909392,0,8555,44
202010040400,2572,53928,3619,173327,1191,310,16651,101,218308608,105243648,7387540,2957632,0,8272,40
202010040500,6622,81235,3561,259260,1267,2984,73130,1713,764808704,176292864,8891764,4337905,0,9458,165
202010040600,19349,440714,3621,375504,1264,3267,50361,10475,2126405120,471693824,62940736,8002357,0,9928,2534
202010040700,6080,174187,3621,262087,1330,1692,30883,310,1521726464,220897280,24978568,9870943,0,9021,449
202010040800,7218,117096,3563,279971,1334,2713,35309,860,1722663424,234110976,15781040,9802322,0,10639,512
202010040900,6931,141128,3624,277532,1257,2120,34028,942,1312147456,214504448,21500952,9791673,0,8594,526
202010041000,7856,126570,3566,275829,1335,2292,37105,984,1699514880,244845568,20034320,9775137,0,10548,518
202010041100,9209,225264,3623,296519,1270,2742,42014,1127,2375245312,318144000,35522752,10150668,0,9103,682
202010041200,7777,124589,3624,275978,1389,1836,33729,778,1674768896,231633920,18596228,9785460,0,10865,519
202010041300,6188,149713,3564,248260,1257,820,28050,189,1331142656,203524096,21259652,9606318,0,8524,423
202010041400,7405,131805,3627,276569,1313,1912,33706,796,1644215296,243268608,19334292,9781068,0,10491,507
202010041500,6283,147277,3569,250418,1276,658,28298,357,1297501696,216225280,20583740,9723122,0,8696,535
202010041600,7034,121736,3632,280050,1314,2226,35657,994,1662695424,239172608,17877084,9761317,0,10495,511
202010041700,6426,143801,3568,263691,1309,1493,33136,570,1673658368,267245568,19956276,9803917,0,8866,507
202010041800,5717,118507,3640,255564,1314,779,28006,195,1286581248,193620992,17643112,9695514,0,8944,503
202010041900,5364,160191,3586,256051,1232,927,28694,249,1326081536,214589952,22549088,9735075,0,8473,547
202010042000,6014,103135,3580,242191,1283,550,25717,157,1217662464,153983488,15968516,9495958,0,8676,378
202010042100,6021,130988,3585,244661,1268,563,26795,248,1403049472,185682432,16210348,10179200,0,8888,389
202010042200,7179,195841,3648,288537,1276,2524,36943,617,1297436160,232054272,28255192,10510475,0,8677,2481
202010042300,9537,270403,3579,345726,1385,3975,87881,2152,1913606144,322519552,37923768,11483355,0,9206,616
202010050000,6495,503776,3573,278547,1301,2442,38709,466,1803972096,576249344,91669816,10075509,0,8818,544
202010050100,8515,158085,3628,251260,1306,1809,30437,761,1089435648,225558528,20819564,7697724,0,8843,428
202010050200,2430,52829,3568,175392,1265,629,17787,95,285374464,99212288,5461528,2965578,0,8636,33
202010050300,2389,50749,3625,173802,1236,234,16590,80,252613632,136115200,7639656,2928233,0,8505,41
202010050400,2173,44539,3631,168879,1211,20,14674,28,210237952,103633408,7138360,2811347,0,8388,37
202010050500,3926,84352,3571,186310,1296,886,22663,598,993637888,183118848,8675232,3619564,0,10962,148
202010050600,2839,318183,3623,179521,1306,590,17799,159,625188352,296256000,46273024,3264455,0,9867,49
202010050700,2455,54012,3564,167687,1233,81,15270,67,385020416,102387200,5136004,3013064,0,8596,37
202010050800,6622,364122,3623,245699,1291,538,19847,496,3008261632,1875304960,249035224,4077206,0,130973,6085
202010050900,7943,385060,3567,368951,1236,271,18815,311,3782897152,1979136512,246795400,5197462,0,347683,9981
202010051000,3291,64774,3623,186449,1271,50,18074,71,1213521408,261219328,17412656,3043922,0,23473,608
202010051100,3510,122630,3628,192352,1298,1128,22453,195,542417408,185462272,17495956,3138704,0,9913,140
202010051200,3318,54421,3562,184098,1297,81,18522,81,1225808896,171947520,7426104,3156219,0,11305,140
202010051300,2678,27152,3631,171762,1210,206,16084,148,310688768,102865920,5097896,2778733,0,9034,38
202010051400,3140,56543,3577,181825,1294,64,18325,41,954097152,182460928,8415912,3041805,0,11258,140
202010051500,2688,43346,3575,178502,1194,44,16244,39,247349248,109878272,5345724,2944599,0,8949,130
202010051600,3129,56284,3634,182989,1345,44,18080,37,533417984,176644096,7378612,2995916,0,11487,137
202010051700,3711,71288,3571,181948,1249,150,19839,242,449487872,133959680,7694972,3216951,0,9346,135
202010051800,2833,54022,3628,175821,1225,42,16264,43,351154176,133213184,8261928,2961537,0,9125,133
202010051900,2724,51344,3570,176736,1250,72,16470,44,276186112,131022848,5356252,2973252,0,9303,130
202010052000,4758,565365,3629,371813,1273,60,18302,63,3024537600,975731200,156029632,3965092,0,263239,62118
202010052100,9021,115716,3626,218084,1339,1624,26805,1729,5232430080,262263808,13001604,4989746,0,9377,237
202010052201,14190,236317,3567,387106,1278,3653,55061,2836,2151333376,243408384,31830092,8512566,0,8774,4517
