SNAP_TIME,CPU used by this session,db block changes,elapsed,execute count,logons cumulative,parse count (hard),parse count (total),parse time cpu,physical read total bytes,physical write total bytes,redo size,session logical reads,sorts (disk),user calls,user commits
202009242300,0,0,3609,0,0,0,0,0,0,0,0,0,0,0,0
202009250000,0,0,3609,0,0,0,0,0,0,0,0,0,0,0,0
202009250100,18110,11231118,3607,21600,454,855,21629,291,10765225984,24277967360,4792309596,13191545,4,18311,1205
202009250200,513,13488,3548,5409,264,207,4625,28,239612416,127735296,4021028,50531,0,1462,133
202009250300,948,38344,3609,4514,268,9,4335,7,225738752,115695616,13543764,4755193,0,1490,138
202009250400,863,23659,3608,4213,269,2,4088,2,195158016,106259456,8527808,6520018,0,1494,137
202009250500,1129,25171,3607,10614,273,31,4787,86,273107968,141228544,8788408,6161810,0,1575,197
202009250600,1716,687876,3607,17958,379,550,7637,62,542205952,514981888,108624924,4378287,0,4807,225
202009250700,15248,304581,3608,124371,293,4251,49059,1897,7069237760,3077871104,42863852,5627809,0,5619,2731
202009250800,558345,132118,3603,61293456,2716,2526992,59266971,851326,34351219200,732436480,26032152,154131359,0,3650859,1891
202009250900,555335,142409,3590,46511850,1088,2206387,43258816,717595,31463125504,428209152,25820852,193686613,0,9205765,875
202009251000,160549,72112,3622,7483843,1116,561749,6912088,139919,35100610048,156464128,13194416,89071563,0,3731864,1034
202009251101,448760,49600,3572,35544290,627,2063164,33522715,550225,38537895936,190269952,12101196,164600911,0,5636555,755
202009251200,23001,83691,3609,173304,663,3511,36115,736,5297891328,177229824,17286288,41362218,0,208949,12890
202009251300,18951,44416,3609,111187,280,3361,29137,829,4802396160,160842752,12464584,20696680,0,70218,362
202009251400,43611,95402,3609,191562,377,2305,39049,808,10827286016,472540160,19221392,72617957,0,315317,678
202009251500,41962,38264,3550,184994,336,2447,34169,1111,8062542848,188184064,11810092,74717557,0,425529,960
202009251600,33438,31736,3609,148250,287,1270,26082,508,2353450496,111346688,8629860,68588131,0,135644,462
