,TABLE_NAME,CONSTRAINT_NAME,COLUMNS
0,ACPRPASSPORT,FK_ACPRPASSPORT_ENTITY,"IDENTITY,DATA_SOURCE"
1,ACPRCITIZEN,FK_ACPRCITIZEN_ENTITY,"IDENTITY,DATA_SOURCE"
2,ACPRPMMATCH,FK_ACPRPMMATCH_STATUS,IDSTATUS
3,ACPRPPMATCH,FK_ACPRPPMATCH_STATUS,IDSTATUS
4,MDM_ENTITY,SYS_C0089538,ID_ENTITYCODE
