SNAP_TIME,CPU used by this session,db block changes,elapsed,execute count,logons cumulative,parse count (hard),parse count (total),parse time cpu,physical read total bytes,physical write total bytes,redo size,session logical reads,sorts (disk),user calls,user commits
202009170000,0,0,3603,0,0,0,0,0,0,0,0,0,0,0,0
202009170100,71419,7127884,3603,600579,3570,82603,152871,3243,201481734656,17504815104,4917211812,111984650,0,615740,19204
202009170200,125362,1362655,3603,301811,2100,3101,46317,597,272116057088,1452022784,336679632,194302014,0,660424,16306
202009170300,142778,4272149,3603,1027105,2030,3439,50135,700,378270152192,7823052288,936972004,252970485,0,654381,17627
202009170400,138840,1131794,3604,659650,2396,21685,119119,2905,254198279680,8134585856,229410464,245024425,0,864455,22163
202009170500,128046,424753,3603,263321,2396,3110,47741,566,243915481088,816921088,104088912,238809565,0,581766,17592
202009170600,150713,379809,3603,236516,4111,7522,70244,829,579447234560,533118976,80773684,297071216,0,522544,20034
202009170700,140141,420905,3603,248451,2428,4938,54131,807,234425991168,702025728,88924440,213472229,0,587703,20608
202009170800,125797,668980,3603,408220,2910,6184,70918,990,252707158528,1185995776,136613892,185515636,0,1007688,26560
202009170900,129656,1091872,3604,512046,3176,13856,106545,1686,403811001856,1555733504,223619792,163311882,0,1252089,37688
202009171000,106413,829654,3603,440444,2541,7247,75780,1187,254603722240,1144488960,169821256,117936553,0,1080773,30342
202009171100,53524,869921,3603,477228,3789,8551,94807,1326,202236578304,1560685568,178734952,51893193,0,1262670,31213
202009171200,29545,815181,3604,421363,1980,6641,68314,933,177546088448,1346638848,170765060,27675601,0,998897,31915
202009171300,31766,727111,3603,376406,1198,7703,54575,991,172732678144,1079811072,152475116,26759140,0,937430,28108
202009171400,30199,687855,3603,418993,1586,6302,62949,1045,179672753152,1436107264,147427052,30289560,0,1045610,28184
202009171500,34953,714588,3604,414265,2209,5369,66175,919,209517494784,1303357440,156344916,34052105,0,1027344,31836
202009171600,31693,1071937,3603,446686,1582,9775,72740,1229,182930505216,1292512256,221342940,31102356,0,1075264,35285
202009171701,23434,586908,3543,328017,1030,5024,48153,692,137709217280,1261832192,121026512,23038645,0,776458,23754
202009171800,26880,605805,3604,328205,987,4674,45017,653,161590733312,1072737280,128909768,25315151,0,757021,24938
202009171900,28130,417087,3603,331260,950,3226,38485,713,156052635136,673007616,92742024,23272881,0,748615,23518
202009172000,27635,447909,3604,319351,1842,3263,51151,770,133545164800,667489280,99996264,19741655,0,762827,23303
202009172100,37818,598313,3604,400788,3484,17220,89142,3250,406269628928,4678276096,135199252,25282231,0,872543,27452
202009172200,123042,1229776,3605,639075,5951,58071,174555,6851,479500689408,1352055808,236831588,109826486,0,1170609,32461
202009172300,45181,961012,3603,317956,2794,6788,69372,1187,396056276992,1287776768,188144332,53124666,0,735909,28267
202009180000,24226,1053618,3603,190489,201,4143,31364,674,127327002624,916054016,177909240,20830282,0,435952,16161
202009180100,23820,254355,3603,159499,419,2982,30650,533,110855231488,673979904,54495272,17149873,0,368411,12325
202009180200,25724,2006595,3603,163374,338,2927,29737,459,135423270912,951699456,405590392,20484334,0,405576,11614
202009180300,34633,4211448,3603,1260713,281,3531,39771,1277,144633494016,8678524416,923818124,37243008,0,374197,12341
202009180400,32581,815604,3603,378575,212,22988,92281,2268,147262201856,7278736384,131573284,30781340,0,739241,16124
202009180500,22118,167510,3603,165565,187,2899,27218,418,132069132800,408427520,35258788,19747126,0,401255,11921
202009180600,22099,198236,3603,159370,187,2997,27487,416,132849885184,266264576,41726420,19208297,0,402997,13130
202009180700,23910,285203,3603,193911,267,3951,30584,602,134604947456,402210816,58760516,19892496,0,487905,15355
202009180800,30814,571889,3603,361682,1375,7104,59065,991,155222512128,944319488,113343500,24835974,0,884119,23649
202009180900,34562,752117,3604,428052,2256,9124,71559,1191,242149675520,1213751296,156538128,37817895,0,1078093,31855
202009181000,34509,769402,3603,429112,1717,11135,70271,1607,166541876736,1124258816,159712140,33399757,0,1089607,29996
202009181101,32321,868830,3543,433047,1545,7445,59698,1049,252035206144,1560868352,190773756,37519508,0,1085030,37482
202009181200,28832,623804,3603,381381,1650,4578,51919,728,178472906240,1140983808,133933344,26357813,0,909199,28113
202009181300,29883,677838,3603,382356,1977,8328,64083,1051,185465602048,955566080,145668352,27086326,0,955337,28695
202009181400,33424,675630,3604,422221,1841,5915,60349,871,214787038720,1457010688,147301988,33788756,0,1060558,29698
202009181500,31508,692461,3602,424639,1969,5792,63036,785,217961435648,1239340032,149441448,34108648,0,1050251,29781
202009181600,37202,6190645,3604,513392,4163,69578,154308,2821,201554982400,4660008960,1227599160,56174017,0,1073708,30467
202009181700,40314,876994,3603,472252,4699,7767,101720,920,368278553088,1624690688,208174036,52205137,0,1124046,37301
202009181800,36557,726306,3603,407663,5559,5502,105296,768,296132569600,1229193216,168877364,42183380,0,969910,39431
202009181900,27142,423038,3603,348973,1468,3033,46346,709,135239057920,785674240,91917380,21138702,0,792113,25155
202009182000,27142,390296,3604,251663,213,2967,27372,699,141897359360,613430272,86448240,20598042,0,602187,20245
202009182100,33835,414858,3604,332876,255,4349,29572,2166,390374599680,4321048576,88362760,25216581,0,513014,19838
202009182200,93793,1199041,3604,452939,255,64668,110696,8800,254621597696,1723082752,255658608,69284117,0,857356,21206
202009182300,27529,1193238,3603,192610,151,10710,37037,1139,115751842304,1191777280,218761516,18575083,0,430272,15568
202009190000,23838,665788,3603,149114,164,3406,30466,528,130795003904,655760384,106974200,19178446,0,354369,12121
202009190100,34139,417867,3603,185954,336,45384,72399,2499,122284570112,989503488,148731132,35073554,0,361107,10741
202009190200,155356,1643909,3604,199431,2968,3166,54873,581,189471014912,799426560,330151304,290410008,0,422877,14192
202009190300,169936,3341166,3603,1101885,1246,3677,52336,1376,933202289152,7101745664,726360384,133223340,0,362967,13115
202009190400,164155,379640,3603,308323,1174,21284,102325,2383,925630955520,6584687616,66560000,124940612,0,777107,16752
202009190500,153123,142761,3543,175975,1190,2909,37342,509,932928516096,487983616,28896388,119081786,0,396917,12933
202009190600,162653,471587,3604,284949,1099,4883,47280,662,890654711808,567975936,81967056,123973553,0,378140,13490
202009190700,159083,219729,3603,165232,1032,3326,37785,612,828789153792,296123392,46972684,105718408,0,412106,13834
202009190800,153184,346491,3604,236948,1019,3051,37368,642,802513795072,694546944,72832408,103165873,0,545651,18772
202009190900,159632,384634,3603,223805,1103,4498,40692,692,852260846080,659883008,79455028,109546024,0,528841,18993
202009191000,165401,421114,3603,305711,1145,4460,41723,704,877357948416,594546688,84214740,118938572,0,523229,18511
202009191100,160913,367969,3604,218504,1130,3258,38096,602,875744229888,735932416,77313492,112469277,0,515253,18349
202009191200,158811,418819,3603,239441,1166,3254,38669,590,927496702464,767832064,88279100,118308696,0,531828,19877
202009191300,156303,359252,3603,199475,1223,3001,37801,490,947386949632,552090624,76253984,120480066,0,480796,18008
202009191400,157103,407199,3604,298255,1254,3652,40709,583,956647183360,806724096,83386864,126939008,0,490905,18219
202009191500,151005,326942,3603,203923,1202,2995,37675,513,920660103168,579480064,70073744,118126261,0,465298,17010
202009191600,158482,319516,3603,199183,1204,3655,39010,519,967215919616,545013760,68473440,123996147,0,456011,16785
202009191700,155299,308183,3603,199000,1193,4256,39374,541,947892207104,471321600,65506512,121625991,0,454241,16510
202009191800,160439,328161,3603,275850,1228,3034,39467,503,970143560192,591139840,67133436,130259955,0,439161,16210
202009191900,150657,420080,3603,284981,1138,12590,50298,1100,917338106368,613690368,86133372,118909040,0,633317,20894
202009192000,151217,411236,3604,234526,1019,6293,40492,863,806663020544,598297600,87018212,103484665,0,554065,20669
202009192100,164087,393276,3603,238735,1114,6116,40796,2066,1092918412800,4255300096,82110160,110153453,0,454582,17915
202009192200,172467,545000,3604,327042,1080,9579,50068,1396,806098509824,693552128,105575828,127968564,0,669799,18214
202009192300,153709,283277,3543,192868,1095,3053,35146,579,807344785920,670143488,60566996,104044579,0,436714,16024
202009200000,145420,1497596,3603,162392,987,3431,36641,563,807777574912,1072455680,249185496,104848999,0,386348,13515
