,SNAP_TIME,WAIT_TIME_MILLI,WAIT_COUNT
1451,202009270800,8,48
1452,202009202300,8,32
1453,202009230500,16,45
1454,202009230500,8,198
1455,202009231000,1,50210
1456,202009231300,2,9203
1457,202009240100,8,490
1458,202009252000,256,1
1459,202009252000,128,1
1460,202009252000,2,4368
1461,202009280900,32,19
1462,202009252100,256,1
1463,202009252100,8,731
1464,202009210300,64,4
1465,202009210400,128,1
1466,202009210700,4,1361
1467,202009210700,1,110463
1468,202009211900,16,66
1469,202009212000,128,1
1470,202009212000,32,42
1471,202009212000,2,5420
1472,202009212200,64,52
1473,202009212200,16,307
1474,202009221900,256,2
1475,202009240300,16,62
1476,202009240300,4,572
1477,202009240300,2,3700
1478,202009241100,1,63856
1479,202009241500,4,1669
1480,202009252300,8,135
1481,202009252300,1,38082
1482,202009270200,128,1
1483,202009270200,1,131462
1484,202009281000,16,90
1485,202009281000,1,85192
1486,202009272200,2,1118
1487,202009220200,1,318432
1488,202009222000,8,583
1489,202009222000,4,2289
1490,202009222000,1,297166
1491,202009230400,64,3
1492,202009230400,2,1913
1493,202009250400,128,1
