SNAP_TIME,CPU used by this session,db block changes,elapsed,execute count,logons cumulative,parse count (hard),parse count (total),parse time cpu,physical read total bytes,physical write total bytes,redo size,session logical reads,sorts (disk),user calls,user commits
202009082300,0,0,3609,0,0,0,0,0,0,0,0,0,0,0,0
202009090000,0,0,3612,0,0,0,0,0,0,0,0,0,0,0,0
202009090100,321683,187083125,3608,4769061,2204,6433,828980,14424,410138272768,257775282688,28690853208,557820982,0,2313998,40966
202009090200,364693,49948085,3549,6227487,3246,4337,1300893,4748,330620276224,68159474224,12298465424,2328302389,3,5712945,201935
202009090300,448894,66074415,3610,5464388,2809,2374,958886,9835,453318485504,137900257930,20780121344,2654004056,1,4537429,181102
202009090400,348121,36565283,3610,4746616,2552,7841,1257897,10857,699163374080,243311263744,7784495584,549053672,0,2749006,86457
202009090500,261268,109955539,3609,4263823,2209,1463,834127,4675,524656101376,189663888384,19140837216,376480932,0,13985225,65779
202009090600,237757,128187989,3609,5095594,2330,7979,1826524,8635,451198170112,157635355648,22462105820,586460400,2,14816179,178347
202009090700,369896,16567494,3609,6785520,2935,22296,1834889,21179,688960619520,54819714044,2978991528,1475545225,164,13749812,223978
202009090800,909054,126181914,3612,24062632,9379,41608,4535645,65185,1317044323328,270071447649,22854608960,2364700267,1068,26515261,516425
202009090901,1434643,100358119,3554,31647041,9230,66023,7192229,100460,1101225696768,311819733224,20287519416,3691515486,1691,35049323,894714
202009091000,1206844,80962253,3614,26796429,10120,73022,6276240,108337,783566935552,282862463488,16485278416,3532736755,1471,29767672,759536
202009091100,2355334,153997391,3618,46510680,12323,102634,10996020,141528,943424887808,222821064192,31348735564,4338049449,506,51741816,1371530
202009091200,1355182,101067281,3613,33791297,9070,32186,6831213,55040,910133176832,253082591232,19969022008,4480296320,254,39060621,988715
202009091301,1228578,93678113,3553,31027592,8540,44768,6744672,62117,891850270720,153361297920,18419795340,4227395446,482,36497605,882393
202009091400,1744797,155082820,3615,47580441,11879,70635,10669642,91094,1134161907712,208101455872,30975478212,4564693535,390,54256968,1394399
202009091500,1611032,145048486,3615,43547311,11355,69777,10026619,99913,850524783104,192193627136,29371178000,4665085394,356,48799867,1314669
202009091600,1217520,129478876,3613,34991327,7537,51462,8562672,110491,687648417280,144416489472,26293686288,4471371186,100,37295152,1158797
202009091700,839017,115629752,3550,28758199,4452,19330,7363747,45347,583982362624,120249302528,23455391144,3932957187,22,29701598,1068232
202009091800,718396,73236793,3611,22696321,10872,34141,5222885,44707,741679580160,82820268032,14453649760,3244065723,1,17926692,718030
202009091900,514573,52750139,3611,13835429,2481,7356,3635245,13296,495331089408,58408481792,10404917716,2931187624,1,14099069,559420
202009092000,400578,36803323,3609,10283900,3777,3178,2654895,13240,335911987712,70705421824,8651958508,2852635480,0,14872783,420600
202009092100,424602,32942379,3610,10150802,2689,7877,2383587,7715,590019770368,36769544353,6203543420,2932882620,0,9380486,378185
202009092200,710026,30138232,3612,8897577,2301,8410,1938735,20505,780013300224,31815282176,5333138604,3060855062,10,6984127,291484
