SNAP_TIME,EXECS/DOMUTR6,EXECS/DOMUTX6
2020121402,10336.0,218.0
2020121403,10605.0,131.0
2020121404,10872.0,188.0
2020121405,11143.0,134.0
2020121406,11412.0,542.0
2020121407,9046.0,3722.0
2020121408,9370.0,5413.0
2020121409,8663.0,4595.0
2020121410,9625.0,4777.0
2020121411,10698.0,5054.0
2020121412,12170.0,4437.0
2020121413,13188.0,4340.0
2020121414,14108.0,4450.0
2020121415,15519.0,4460.0
2020121416,18524.0,4296.0
2020121417,21951.0,3821.0
2020121418,23088.0,2577.0
2020121419,23761.0,1583.0
2020121420,24212.0,1342.0
2020121421,24659.0,1203.0
2020121422,25114.0,810.0
2020121423,25559.0,496.0
2020121500,26009.0,27.0
2020121501,26459.0,
2020121502,26908.0,132.0
2020121503,27352.0,19331.0
2020121504,27802.0,11227.0
2020121505,28250.0,6107.0
2020121506,19890.0,8003.0
2020121507,20342.0,6779.0
2020121508,20789.0,5874.0
2020121509,19690.0,5775.0
2020121510,21147.0,5544.0
2020121511,21324.0,5456.0
2020121512,22650.0,5506.0
2020121513,23952.0,5182.0
2020121514,24851.0,6015.0
2020121515,26152.0,5149.0
2020121516,27267.0,5099.0
2020121517,28149.0,3953.0
2020121518,22976.0,2144.0
2020121519,22409.0,1355.0
2020121520,23121.0,1118.0
2020121521,23573.0,1054.0
2020121522,24038.0,802.0
2020121523,24481.0,396.0
2020121600,24932.0,21.0
2020121601,25383.0,
2020121602,25833.0,423.0
2020121603,24846.0,3227.0
2020121604,25297.0,3568.0
2020121605,24049.0,3104.0
2020121606,24501.0,4231.0
2020121607,24951.0,4780.0
2020121608,25398.0,5081.0
2020121609,25943.0,4630.0
2020121610,25190.0,4435.0
2020121611,26973.0,4449.0
2020121612,28240.0,4698.0
2020121613,28934.0,4943.0
2020121614,29474.0,4482.0
2020121615,30732.0,4659.0
2020121616,31650.0,4946.0
2020121617,32430.0,4655.0
2020121618,33109.0,1670.0
2020121619,33675.0,47.0
2020121620,34198.0,132.0
2020121621,29726.0,1321.0
2020121622,30166.0,940.0
2020121623,30611.0,769.0
2020121700,31061.0,385.0
2020121701,31511.0,294.0
2020121702,28643.0,186.0
2020121703,29092.0,14281.0
2020121704,29540.0,18300.0
2020121705,26562.0,7828.0
2020121706,27012.0,18736.0
2020121707,27463.0,18844.0
2020121708,27914.0,18637.0
2020121709,28488.0,12910.0
2020121710,29826.0,14152.0
2020121711,31298.0,13498.0
2020121712,32497.0,16396.0
2020121713,33808.0,20152.0
2020121714,34493.0,15656.0
2020121715,35847.0,16772.0
2020121716,36327.0,21807.0
2020121717,37749.0,23309.0
2020121718,39077.0,21453.0
2020121719,39977.0,18691.0
2020121720,40428.0,17023.0
2020121721,40879.0,3165.0
2020121722,41366.0,3125.0
2020121723,41810.0,1266.0
2020121800,42254.0,78.0
2020121801,42706.0,2.0
2020121802,42305.0,1239.0
2020121803,42751.0,6591.0
2020121804,43201.0,3119.0
2020121805,31339.0,4633.0
2020121806,31789.0,4503.0
2020121807,32240.0,4895.0
