,OWNER,SEGMENT_NAME,SIZE_GB
84,ESBBWPD2,INDEX_TASKS_1,6.103515625e-05
85,ESBBWPD2,IDX_ENGINE_CONFIG,0.0001220703125
86,ESBBWPD2,NJAMS_Q_I_T_JG,6.103515625e-05
87,ESBBWPD2,NJAMS_Q_I_T_STATE,6.103515625e-05
88,ESBBWPD2,NJAMS_Q_I_FT_TRIG_INST_NAME,6.103515625e-05
89,ESBBWPD2,NJAMS_T_STATISTICS,0.000732421875
90,ESBBWPD2,SYS_IL0000144550C00004$$,6.103515625e-05
91,ESBBWPD2,PK_ID_ROLES,6.103515625e-05
92,ESBBWPD2,SYS_IL0000144566C00008$$,6.103515625e-05
93,ESBBWPD2,SYS_IL0000144566C00007$$,6.103515625e-05
94,ESBBWPD2,SYS_LOB0000144566C00007$$,3.76776123046875
95,ESBBWPD2,NJAMS_T_MONITOR_MAIN,0.041015625
96,ESBBWPD2,NJAMS_T_DP_STATISTICS,0.001953125
97,ESBBWPD2,PK_NJAMS_Q_TRIGGERS,6.103515625e-05
98,ESBBWPD2,NJAMS_T_Q_FIRED_TRIGGERS,6.103515625e-05
99,ESBBWPD2,INDEX_MONITOR_EVENTS_5,0.0517578125
100,ESBBWPD2,INDEX_DOMAIN_OBJECTS_3,0.0001220703125
101,ESBBWPD2,INDEX_TASKS_MAIN_2,6.103515625e-05
102,ESBBWPD2,NJAMS_Q_I_T_NFT_ST_MISFIRE,6.103515625e-05
103,ESBBWPD2,NJAMS_T_MONITOR_BS,6.103515625e-05
104,ESBBWPD2,PK_ID_PROCESS_DIAGRAMS,0.0001220703125
105,ESBBWPD2,NJAMS_T_USERS,0.0001220703125
106,ESBBWPD2,SYS_LOB0000144607C00010$$,0.0001220703125
107,ESBBWPD2,NJAMS_T_Q_SIMPROP_TRIGGERS,6.103515625e-05
108,ESBBWPD2,PK_NJAMS_Q_SCHEDULER_STATE,6.103515625e-05
109,ESBBWPD2,NJAMS_T_Q_LOCKS,6.103515625e-05
110,ESBBWPD2,PK_NJAMS_Q_LOCKS,6.103515625e-05
111,ESBBWPD2,UINDEX_ACTIVITY_STATISTICS,0.0078125
112,ESBBWPD2,INDEX_MONITOR_ATTRIBUTES_6,0.021484375
113,ESBBWPD2,UINDEX_USERS,6.103515625e-05
114,ESBBWPD2,INDEX_MONITOR_BWTRACE_1,6.103515625e-05
115,ESBBWPD2,INDEX_MONITOR_MAIN_1,0.0068359375
116,ESBBWPD2,INDEX_MONITOR_MAIN_2,0.0146484375
117,ESBBWPD2,INDEX_MONITOR_MAIN_4,0.0107421875
118,ESBBWPD2,INDEX_MONITOR_MAIN_6,0.0107421875
119,ESBBWPD2,NJAMS_Q_I_T_N_G_STATE,6.103515625e-05
120,ESBBWPD2,NJAMS_Q_I_T_NEXT_FIRE_TIME,6.103515625e-05
121,ESBBWPD2,SYS_IL0000144539C00003$$,6.103515625e-05
122,ESBBWPD2,NJAMS_T_ROLE_MEMBERS,6.103515625e-05
123,ESBBWPD2,SYS_LOB0000144562C00006$$,0.01092529296875
124,ESBBWPD2,NJAMS_T_LAST_ACTIVITY_INFO_PK,0.0001220703125
125,ESBBWPD2,NJAMS_T_MONITOR_SEARCH_ATTR,0.00018310546875
126,ESBBWPD2,NJAMS_T_ASPECTS,6.103515625e-05
127,ESBBWPD2,NJAMS_T_DP_STATISTIC_PK,0.001953125
128,ESBBWPD2,NJAMS_T_Q_TRIGGERS,6.103515625e-05
129,ESBBWPD2,SYS_IL0000144611C00016$$,6.103515625e-05
130,ESBBWPD2,PK_NJAMS_Q_SIMPROP_TRIG,6.103515625e-05
131,ESBBWPD2,NJAMS_T_Q_SCHEDULER_STATE,6.103515625e-05
132,ESBBWPD2,UINDEX_PRIVILEGES,0.00018310546875
133,ESBBWPD2,INDEX_PRIVILEGES,0.00018310546875
134,ESBBWPD2,INDEX_TASKS_MAIN_1,6.103515625e-05
135,ESBBWPD2,UINDEX_TRACK_TEMPLATES,0.0185546875
136,ESBBWPD2,INDEX_TRACK_TEMPLATES_1,0.01171875
137,ESBBWPD2,UINDEX_IMAGES,6.103515625e-05
