,TABLE_NAME,CONSTRAINT_NAME,COLUMNS
0,DECOMPTE,FK_DECOMPTE_PAIEMENT,"DEC_PAIE_NUM,DEC_PAIE_DEST,DEC_PAIE_DATE,IDSYSTSRC"
1,LIGNE_DECOMPTE,FK_LDEC_DECOMPTE,"LDEC_DATE_CREATION,LDEC_NUM_DEMANDE,LDEC_NUM_DOSSIER,LDEC_NUM,LDEC_PAIE_NUM,LDEC_PAIE_DEST,LDEC_PAIE_DATE,LDEC_NUM_CONTRAT"
