SNAP_TIME,CPU used by this session,db block changes,elapsed,execute count,logons cumulative,parse count (hard),parse count (total),parse time cpu,physical read total bytes,physical write total bytes,redo size,session logical reads,sorts (disk),user calls,user commits
202009272300,0,0,3636,0,0,0,0,0,0,0,0,0,0,0,0
202009280000,0,0,3572,0,0,0,0,0,0,0,0,0,0,0,0
202009280100,8126,178001,3627,255817,1325,1615,29720,705,1424464384,242688512,25725540,8735832,0,8948,482
202009280200,2432,44537,3566,169999,1238,597,16276,122,296612352,99822080,5215568,3005672,0,8499,36
202009280300,2204,47030,3629,168121,1246,238,14770,55,265801728,138806272,7620120,2812154,0,8592,35
202009280400,2142,43593,3570,161789,1190,30,13279,29,202486272,97311232,4926104,2796222,0,8292,34
202009280500,3911,408762,3631,188154,1333,1214,22540,670,1262124032,372330496,54031376,3983067,0,11238,142
202009280600,4362,530295,3567,227732,1247,533,16675,148,1770516480,1593124864,217469036,4223275,0,127968,6345
202009280700,4791,56328,3633,179695,1290,1791,21463,2117,493706752,150514176,7797580,3483517,0,13083,43
202009280800,3512,47249,3563,178699,1287,890,16941,496,1251393536,169602048,5193596,2975617,0,11105,128
202009280900,2977,50391,3622,178115,1214,237,16526,143,376912384,116781568,7887348,2961950,0,8947,130
202009281000,3136,53771,3621,179568,1290,44,18332,60,785455104,175512064,7442716,2979318,0,11017,136
202009281100,3011,56795,3563,178262,1206,897,17922,181,459073536,117509120,7037096,3025638,0,9314,127
202009281200,3253,49702,3622,181023,1326,240,17886,96,738830848,181325824,7619600,3125268,0,11154,135
202009281300,2402,37819,3631,166029,1238,16,15614,44,296215552,102386688,5132800,2790630,0,9031,37
202009281401,2959,46148,3573,172510,1252,44,14385,45,537059840,174555648,7160648,2929503,0,10743,137
202009281500,2655,40342,3573,171414,1217,42,14658,35,253739520,110611968,5605260,2909718,0,8929,127
202009281600,3062,48661,3632,180330,1284,237,16777,67,554541568,175924736,7198396,2973401,0,11026,138
202009281700,3220,62845,3565,171775,1257,138,17340,42,491694592,120930816,7203612,3020093,0,9133,131
202009281800,2842,48570,3623,170045,1247,65,14782,66,333892608,141559808,7369232,2935759,0,9256,128
202009281900,4395,540022,3629,360646,1225,88,15614,51,2168878080,961294848,150872412,3926190,0,255685,61060
202009282000,2809,53793,3566,171120,1282,30,15347,41,782139904,169542656,7169496,2836236,0,11233,48
202009282100,7249,135879,3630,217688,1247,1538,25596,370,872945152,182038016,17713152,4505994,0,8893,393
202009282200,10133,179813,3566,357860,1266,2322,45106,828,691502592,255366656,21515432,7623771,0,8686,4386
