,SNAP_TIME,SERVICE_NAME,STAT_NAME,VALUE,DELTAT_SEC,RATE_VALUE
74,20200928100024,SYS$BACKGROUND,opened cursors cumulative,104771460,3621.707,40.21
75,20200928110045,SYS$BACKGROUND,opened cursors cumulative,104914801,3563.093,40.23
76,20200928120008,SYS$BACKGROUND,opened cursors cumulative,105060986,3621.546,40.37
77,20200928130030,SYS$BACKGROUND,opened cursors cumulative,105204146,3631.056,39.43
78,20200928140101,SYS$BACKGROUND,opened cursors cumulative,105343185,3573.355,38.91
79,20200928150034,SYS$BACKGROUND,opened cursors cumulative,105482227,3572.421,38.92
80,20200928000044,SYS$USERS,opened cursors cumulative,86696783,,
81,20200928010016,SYS$USERS,opened cursors cumulative,86795678,3627.158,27.27
82,20200928020043,SYS$USERS,opened cursors cumulative,86820384,3565.479,6.93
83,20200928030009,SYS$USERS,opened cursors cumulative,86846430,3629.821,7.18
84,20200928040038,SYS$USERS,opened cursors cumulative,86867713,3569.797,5.96
85,20200928050008,SYS$USERS,opened cursors cumulative,86903588,3631.172,9.88
86,20200928060039,SYS$USERS,opened cursors cumulative,86928636,3566.174,7.02
87,20200928070006,SYS$USERS,opened cursors cumulative,86955062,3633.774,7.27
88,20200928080039,SYS$USERS,opened cursors cumulative,86989719,3563.093,9.73
89,20200928090002,SYS$USERS,opened cursors cumulative,87022667,3621.073,9.1
90,20200928100024,SYS$USERS,opened cursors cumulative,87054753,3621.707,8.86
91,20200928110045,SYS$USERS,opened cursors cumulative,87084877,3563.093,8.45
92,20200928120008,SYS$USERS,opened cursors cumulative,87117586,3621.546,9.03
93,20200928130030,SYS$USERS,opened cursors cumulative,87138852,3631.056,5.86
94,20200928140101,SYS$USERS,opened cursors cumulative,87170850,3573.355,8.95
95,20200928150034,SYS$USERS,opened cursors cumulative,87200885,3572.421,8.41
96,20200928000044,CONFOP0,gc current blocks received,0,,
97,20200928010016,CONFOP0,gc current blocks received,0,3627.158,0.0
98,20200928020043,CONFOP0,gc current blocks received,0,3565.479,0.0
99,20200928030009,CONFOP0,gc current blocks received,0,3629.821,0.0
100,20200928040038,CONFOP0,gc current blocks received,0,3569.797,0.0
101,20200928050008,CONFOP0,gc current blocks received,0,3631.172,0.0
102,20200928060039,CONFOP0,gc current blocks received,0,3566.174,0.0
103,20200928070006,CONFOP0,gc current blocks received,0,3633.774,0.0
104,20200928080039,CONFOP0,gc current blocks received,0,3563.093,0.0
105,20200928090002,CONFOP0,gc current blocks received,0,3621.073,0.0
106,20200928100024,CONFOP0,gc current blocks received,0,3621.707,0.0
107,20200928110045,CONFOP0,gc current blocks received,0,3563.093,0.0
108,20200928120008,CONFOP0,gc current blocks received,0,3621.546,0.0
109,20200928130030,CONFOP0,gc current blocks received,0,3631.056,0.0
110,20200928140101,CONFOP0,gc current blocks received,0,3573.355,0.0
111,20200928150034,CONFOP0,gc current blocks received,0,3572.421,0.0
112,20200928000044,SYS$BACKGROUND,gc current blocks received,0,,
113,20200928010016,SYS$BACKGROUND,gc current blocks received,0,3627.158,0.0
114,20200928020043,SYS$BACKGROUND,gc current blocks received,0,3565.479,0.0
115,20200928030009,SYS$BACKGROUND,gc current blocks received,0,3629.821,0.0
116,20200928040038,SYS$BACKGROUND,gc current blocks received,0,3569.797,0.0
117,20200928050008,SYS$BACKGROUND,gc current blocks received,0,3631.172,0.0
118,20200928060039,SYS$BACKGROUND,gc current blocks received,0,3566.174,0.0
119,20200928070006,SYS$BACKGROUND,gc current blocks received,0,3633.774,0.0
120,20200928080039,SYS$BACKGROUND,gc current blocks received,0,3563.093,0.0
121,20200928090002,SYS$BACKGROUND,gc current blocks received,0,3621.073,0.0
122,20200928100024,SYS$BACKGROUND,gc current blocks received,0,3621.707,0.0
123,20200928110045,SYS$BACKGROUND,gc current blocks received,0,3563.093,0.0
124,20200928120008,SYS$BACKGROUND,gc current blocks received,0,3621.546,0.0
125,20200928130030,SYS$BACKGROUND,gc current blocks received,0,3631.056,0.0
126,20200928140101,SYS$BACKGROUND,gc current blocks received,0,3573.355,0.0
127,20200928150034,SYS$BACKGROUND,gc current blocks received,0,3572.421,0.0
128,20200928000044,SYS$USERS,gc current blocks received,0,,
129,20200928010016,SYS$USERS,gc current blocks received,0,3627.158,0.0
130,20200928020043,SYS$USERS,gc current blocks received,0,3565.479,0.0
131,20200928030009,SYS$USERS,gc current blocks received,0,3629.821,0.0
132,20200928040038,SYS$USERS,gc current blocks received,0,3569.797,0.0
133,20200928050008,SYS$USERS,gc current blocks received,0,3631.172,0.0
134,20200928060039,SYS$USERS,gc current blocks received,0,3566.174,0.0
135,20200928070006,SYS$USERS,gc current blocks received,0,3633.774,0.0
136,20200928080039,SYS$USERS,gc current blocks received,0,3563.093,0.0
137,20200928090002,SYS$USERS,gc current blocks received,0,3621.073,0.0
138,20200928100024,SYS$USERS,gc current blocks received,0,3621.707,0.0
139,20200928110045,SYS$USERS,gc current blocks received,0,3563.093,0.0
140,20200928120008,SYS$USERS,gc current blocks received,0,3621.546,0.0
141,20200928130030,SYS$USERS,gc current blocks received,0,3631.056,0.0
142,20200928140101,SYS$USERS,gc current blocks received,0,3573.355,0.0
143,20200928150034,SYS$USERS,gc current blocks received,0,3572.421,0.0
