,SNAP_TIME,SERVICE_NAME,STAT_NAME,VALUE,DELTAT_SEC,RATE_VALUE,SERVICE_NAME,SUM(VALUE)
62,20201103000026,SO_LIG_X1,session logical reads,40532403548,,,SO_LIG_X1,47527816157628
63,20201103000026,SO_RPS_X1_BATCH,session logical reads,23094547992,,,SO_RPS_X1_BATCH,31899353949765
64,20201103000026,SO_RPS_X1_TP,session logical reads,54851334942,,,SO_RPS_X1_TP,162401542900507
65,20201103000026,GESPAX00,workarea executions - optimal,12194960,,,GESPAX00,18453129690701
66,20201103000026,SO_CAMCAR_X1,workarea executions - optimal,5184220,,,SO_CAMCAR_X1,16569137345774
67,20201103000026,SO_CMN_X1,workarea executions - optimal,1011423332,,,SO_CMN_X1,1004942516155909
68,20201103000026,SO_CVT_X1,workarea executions - optimal,229329,,,SO_CVT_X1,96479613778579
69,20201103000026,SO_EPS_X1,workarea executions - optimal,3097605,,,SO_EPS_X1,68869187691138
70,20201103000026,SO_ESBBWP_X1,workarea executions - optimal,1349767543,,,SO_ESBBWP_X1,1037326090581340
71,20201103000026,SO_ICE_X1,workarea executions - optimal,6598250,,,SO_ICE_X1,25209618188638
72,20201103000026,SO_LIG_X1,workarea executions - optimal,39126709,,,SO_LIG_X1,47527816157628
73,20201103000026,SO_RPS_X1_BATCH,workarea executions - optimal,44005,,,SO_RPS_X1_BATCH,31899353949765
74,20201103000026,SO_RPS_X1_TP,workarea executions - optimal,85113713,,,SO_RPS_X1_TP,162401542900507
75,20201103000026,SO_RPS_X1_BATCH,gc cr blocks received,0,,,SO_RPS_X1_BATCH,31899353949765
76,20201103000026,SO_RPS_X1_TP,gc cr blocks received,0,,,SO_RPS_X1_TP,162401542900507
77,20201103000026,GESPAX00,user calls,609322093,,,GESPAX00,18453129690701
78,20201103000026,SO_CAMCAR_X1,user calls,155449294,,,SO_CAMCAR_X1,16569137345774
79,20201103000026,SO_CMN_X1,user calls,33111905098,,,SO_CMN_X1,1004942516155909
80,20201103000026,SO_CVT_X1,user calls,26385620,,,SO_CVT_X1,96479613778579
81,20201103000026,SO_EPS_X1,user calls,5580291,,,SO_EPS_X1,68869187691138
82,20201103000026,SO_ESBBWP_X1,user calls,28584520764,,,SO_ESBBWP_X1,1037326090581340
83,20201103000026,SO_ICE_X1,user calls,147832347,,,SO_ICE_X1,25209618188638
84,20201103000026,SO_LIG_X1,user calls,253347738,,,SO_LIG_X1,47527816157628
85,20201103000026,SO_RPS_X1_BATCH,user calls,1039164,,,SO_RPS_X1_BATCH,31899353949765
86,20201103000026,SO_RPS_X1_TP,user calls,1547292,,,SO_RPS_X1_TP,162401542900507
87,20201103000026,GESPAX00,session logical reads,14754580465,,,GESPAX00,18453129690701
88,20201103000026,SO_CAMCAR_X1,session logical reads,1850853951,,,SO_CAMCAR_X1,16569137345774
89,20201103000026,SO_CMN_X1,session logical reads,7121269259139,,,SO_CMN_X1,1004942516155909
90,20201103000026,SO_CVT_X1,session logical reads,40273274991,,,SO_CVT_X1,96479613778579
91,20201103000026,SO_EPS_X1,session logical reads,28646770941,,,SO_EPS_X1,68869187691138
92,20201103000026,SO_CMN_X1,sql execute elapsed time,32414134281050,,,SO_CMN_X1,1004942516155909
93,20201103000026,SO_CVT_X1,sql execute elapsed time,415687482693,,,SO_CVT_X1,96479613778579
94,20201103000026,SO_EPS_X1,sql execute elapsed time,1791734489528,,,SO_EPS_X1,68869187691138
95,20201103000026,SO_ESBBWP_X1,sql execute elapsed time,21759616965763,,,SO_ESBBWP_X1,1037326090581340
96,20201103000026,SO_ICE_X1,sql execute elapsed time,806653144430,,,SO_ICE_X1,25209618188638
97,20201103000026,SO_LIG_X1,sql execute elapsed time,1150700132870,,,SO_LIG_X1,47527816157628
98,20201103000026,SO_RPS_X1_BATCH,sql execute elapsed time,175062883085,,,SO_RPS_X1_BATCH,31899353949765
99,20201103000026,SO_RPS_X1_TP,sql execute elapsed time,3523249968223,,,SO_RPS_X1_TP,162401542900507
100,20201103000026,GESPAX00,gc cr blocks received,0,,,GESPAX00,18453129690701
101,20201103000026,SO_CAMCAR_X1,gc cr blocks received,0,,,SO_CAMCAR_X1,16569137345774
102,20201103000026,SO_CMN_X1,gc cr blocks received,0,,,SO_CMN_X1,1004942516155909
103,20201103000026,SO_CVT_X1,gc cr blocks received,0,,,SO_CVT_X1,96479613778579
104,20201103000026,SO_EPS_X1,gc cr blocks received,0,,,SO_EPS_X1,68869187691138
105,20201103000026,SO_ESBBWP_X1,gc cr blocks received,0,,,SO_ESBBWP_X1,1037326090581340
106,20201103000026,SO_ICE_X1,gc cr blocks received,0,,,SO_ICE_X1,25209618188638
107,20201103000026,SO_LIG_X1,gc cr blocks received,0,,,SO_LIG_X1,47527816157628
108,20201103000026,SO_RPS_X1_BATCH,logons cumulative,29073,,,SO_RPS_X1_BATCH,31899353949765
109,20201103000026,SO_RPS_X1_TP,logons cumulative,22459,,,SO_RPS_X1_TP,162401542900507
110,20201103000026,GESPAX00,DB CPU,121588756027,,,GESPAX00,18453129690701
111,20201103000026,SO_CAMCAR_X1,DB CPU,121228870118,,,SO_CAMCAR_X1,16569137345774
112,20201103000026,SO_CMN_X1,DB CPU,13513860347654,,,SO_CMN_X1,1004942516155909
113,20201103000026,SO_CVT_X1,DB CPU,204141863040,,,SO_CVT_X1,96479613778579
114,20201103000026,SO_EPS_X1,DB CPU,512914358707,,,SO_EPS_X1,68869187691138
115,20201103000026,SO_ESBBWP_X1,DB CPU,7150437525178,,,SO_ESBBWP_X1,1037326090581340
116,20201103000026,SO_ICE_X1,DB CPU,128913796268,,,SO_ICE_X1,25209618188638
117,20201103000026,SO_LIG_X1,DB CPU,550923506178,,,SO_LIG_X1,47527816157628
118,20201103000026,SO_RPS_X1_BATCH,DB CPU,79174805750,,,SO_RPS_X1_BATCH,31899353949765
119,20201103000026,SO_RPS_X1_TP,DB CPU,1343464268904,,,SO_RPS_X1_TP,162401542900507
120,20201103000026,GESPAX00,sql execute elapsed time,358681676103,,,GESPAX00,18453129690701
121,20201103000026,SO_CAMCAR_X1,sql execute elapsed time,399746707104,,,SO_CAMCAR_X1,16569137345774
122,20201103000026,SO_CMN_X1,execute count,17614502382,,,SO_CMN_X1,1004942516155909
123,20201103000026,SO_CVT_X1,execute count,708919315,,,SO_CVT_X1,96479613778579
124,20201103000026,SO_EPS_X1,execute count,186218551,,,SO_EPS_X1,68869187691138
125,20201103000026,SO_ESBBWP_X1,execute count,35597009127,,,SO_ESBBWP_X1,1037326090581340
