,SNAP_TIME,SERVICE_NAME,STAT_NAME,VALUE,DELTAT_SEC,RATE_VALUE
96,20200924000023,IONTOT1,redo size,28235297528,,
97,20200924000023,NTOT01,redo size,0,,
98,20200924000023,SO_NTO_P0,redo size,0,,
99,20200924000023,SO_NTO_T1,redo size,101020,,
100,20200924000023,SYS$BACKGROUND,redo size,565504016,,
101,20200924000023,SYS$USERS,redo size,127161424,,
102,20200924000023,seeddata,redo size,0,,
103,20200924000023,seeddataXDB,redo size,0,,
104,20200924000023,IONTOT1,gc current block receive time,0,,
105,20200924000023,NTOT01,gc current block receive time,0,,
106,20200924000023,SO_NTO_P0,gc current block receive time,0,,
107,20200924000023,SO_NTO_T1,gc current block receive time,0,,
108,20200924000023,SYS$BACKGROUND,gc current block receive time,0,,
109,20200924000023,SYS$USERS,gc current block receive time,0,,
110,20200924000023,seeddata,gc current block receive time,0,,
111,20200924000023,seeddataXDB,gc current block receive time,0,,
112,20200924000023,IONTOT1,parse time elapsed,206915344,,
113,20200924000023,NTOT01,parse time elapsed,0,,
114,20200924000023,SO_NTO_P0,parse time elapsed,0,,
115,20200924000023,SO_NTO_T1,parse time elapsed,144966,,
116,20200924000023,SYS$BACKGROUND,parse time elapsed,0,,
117,20200924000023,SYS$USERS,parse time elapsed,1761177342,,
118,20200924000023,seeddata,parse time elapsed,0,,
119,20200924000023,seeddataXDB,parse time elapsed,0,,
120,20200924000023,IONTOT1,gc cr block receive time,0,,
121,20200924000023,NTOT01,gc cr block receive time,0,,
122,20200924000023,SO_NTO_P0,gc cr block receive time,0,,
123,20200924000023,SO_NTO_T1,gc cr block receive time,0,,
124,20200924000023,SYS$BACKGROUND,gc cr block receive time,0,,
125,20200924000023,SYS$USERS,gc cr block receive time,0,,
126,20200924000023,seeddata,gc cr block receive time,0,,
127,20200924000023,seeddataXDB,gc cr block receive time,0,,
128,20200924000023,IONTOT1,physical reads,192536087,,
129,20200924000023,NTOT01,physical reads,0,,
130,20200924000023,SO_NTO_P0,physical reads,0,,
131,20200924000023,SO_NTO_T1,physical reads,32510,,
132,20200924000023,SYS$BACKGROUND,physical reads,33990508,,
133,20200924000023,SYS$USERS,physical reads,14334272,,
134,20200924000023,seeddata,physical reads,0,,
135,20200924000023,seeddataXDB,physical reads,0,,
136,20200924000023,IONTOT1,cluster wait time,0,,
137,20200924000023,NTOT01,cluster wait time,0,,
138,20200924000023,SO_NTO_P0,cluster wait time,0,,
139,20200924000023,SO_NTO_T1,cluster wait time,0,,
140,20200924000023,SYS$BACKGROUND,cluster wait time,0,,
141,20200924000023,SYS$USERS,cluster wait time,0,,
142,20200924000023,seeddata,cluster wait time,0,,
143,20200924000023,seeddataXDB,cluster wait time,0,,
144,20200924000023,IONTOT1,execute count,180047702,,
