,SNAP_TIME,SERVICE_NAME,STAT_NAME,VALUE,DELTAT_SEC,RATE_VALUE,SERVICE_NAME,SUM(VALUE)
67,20201109000008,SYS$USERS,workarea executions - onepass,8840,,,SYS$USERS,362173855988807
68,20201109000008,IOMUTX5,db block changes,840289,,,IOMUTX5,3832978203583
69,20201109000008,SO_AUG_X1,db block changes,5377,,,SO_AUG_X1,4997767074404
70,20201109000008,SYS$BACKGROUND,db block changes,128660690,,,SYS$BACKGROUND,3199996016993
71,20201109000008,SYS$USERS,db block changes,2753331749,,,SYS$USERS,362173855988807
72,20201109000008,IOMUTX5,application wait time,78183,,,IOMUTX5,3832978203583
73,20201109000008,SO_AUG_X1,application wait time,866142,,,SO_AUG_X1,4997767074404
74,20201109000008,SYS$BACKGROUND,application wait time,2386916,,,SYS$BACKGROUND,3199996016993
75,20201109000008,SYS$USERS,application wait time,663518970,,,SYS$USERS,362173855988807
76,20201109000008,IOMUTX5,physical writes,822,,,IOMUTX5,3832978203583
77,20201109000008,SO_AUG_X1,physical writes,0,,,SO_AUG_X1,4997767074404
78,20201109000008,SYS$BACKGROUND,physical writes,50962018,,,SYS$BACKGROUND,3199996016993
79,20201109000008,SYS$USERS,physical writes,265980075,,,SYS$USERS,362173855988807
80,20201109000008,IOMUTX5,redo size,152016124,,,IOMUTX5,3832978203583
81,20201109000008,SO_AUG_X1,redo size,807184,,,SO_AUG_X1,4997767074404
82,20201109000008,SYS$BACKGROUND,redo size,21612570620,,,SYS$BACKGROUND,3199996016993
83,20201109000008,SYS$USERS,redo size,1203666204672,,,SYS$USERS,362173855988807
84,20201109000008,IOMUTX5,gc current block receive time,0,,,IOMUTX5,3832978203583
85,20201109000008,SO_AUG_X1,gc current block receive time,0,,,SO_AUG_X1,4997767074404
86,20201109000008,SYS$BACKGROUND,gc current block receive time,0,,,SYS$BACKGROUND,3199996016993
87,20201109000008,SYS$USERS,gc current block receive time,0,,,SYS$USERS,362173855988807
88,20201109000008,IOMUTX5,parse time elapsed,241005530,,,IOMUTX5,3832978203583
89,20201109000008,SO_AUG_X1,parse time elapsed,814419547,,,SO_AUG_X1,4997767074404
90,20201109000008,SYS$BACKGROUND,parse time elapsed,0,,,SYS$BACKGROUND,3199996016993
